코드,시도,시군구,읍면동,위도,경도,코드종류
5013025024,제주특별자치도,서귀포시,대정읍,33.246616,126.280434,B
5013025025,제주특별자치도,서귀포시,대정읍,33.242966,126.231224,B
5013025026,제주특별자치도,서귀포시,대정읍,33.156231,126.270492,B
5013025027,제주특별자치도,서귀포시,대정읍,33.266417,126.257273,B
5013025028,제주특별자치도,서귀포시,대정읍,33.23767,126.243432,B
5013025029,제주특별자치도,서귀포시,대정읍,33.260487,126.273607,B
5013025030,제주특별자치도,서귀포시,대정읍,33.280563,126.28919,B
5013025031,제주특별자치도,서귀포시,대정읍,33.273325,126.215945,B
5013025032,제주특별자치도,서귀포시,대정읍,33.257257,126.210447,B
5013025033,제주특별자치도,서귀포시,대정읍,33.279649,126.18501,B
5013025321,제주특별자치도,서귀포시,남원읍,33.283951,126.709392,B
5013025322,제주특별자치도,서귀포시,남원읍,33.289058,126.742401,B
5013025323,제주특별자치도,서귀포시,남원읍,33.312411,126.690921,B
5013025324,제주특별자치도,서귀포시,남원읍,33.33144,126.711507,B
5013025325,제주특별자치도,서귀포시,남원읍,33.308631,126.718454,B
5013025326,제주특별자치도,서귀포시,남원읍,33.313637,126.756395,B
5013025327,제주특별자치도,서귀포시,남원읍,33.280475,126.664657,B
5013025328,제주특별자치도,서귀포시,남원읍,33.278935,126.621349,B
5013025329,제주특별자치도,서귀포시,남원읍,33.284409,126.633328,B
5013025921,제주특별자치도,서귀포시,성산읍,33.464087,126.933139,B
5013025922,제주특별자치도,서귀포시,성산읍,33.460557,126.910446,B
5013025923,제주특별자치도,서귀포시,성산읍,33.474036,126.899877,B
5013025924,제주특별자치도,서귀포시,성산읍,33.444275,126.91168,B
5013025925,제주특별자치도,서귀포시,성산읍,33.44299,126.875673,B
5013025926,제주특별자치도,서귀포시,성산읍,33.407198,126.899419,B
5013025927,제주특별자치도,서귀포시,성산읍,33.382122,126.876097,B
5013025928,제주특별자치도,서귀포시,성산읍,33.372864,126.852203,B
5013025929,제주특별자치도,서귀포시,성산읍,33.363665,126.838112,B
5013025930,제주특별자치도,서귀포시,성산읍,33.345594,126.852069,B
5013025931,제주특별자치도,서귀포시,성산읍,33.402284,126.868621,B
5013031021,제주특별자치도,서귀포시,안덕면,33.248118,126.333995,B
5013031022,제주특별자치도,서귀포시,안덕면,33.250426,126.367049,B
5013031023,제주특별자치도,서귀포시,안덕면,33.256723,126.353939,B
5013031024,제주특별자치도,서귀포시,안덕면,33.273236,126.357408,B
5013031025,제주특별자치도,서귀포시,안덕면,33.23403,126.301198,B
5013031026,제주특별자치도,서귀포시,안덕면,33.261671,126.308475,B
5013031027,제주특별자치도,서귀포시,안덕면,33.287551,126.312847,B
5013031028,제주특별자치도,서귀포시,안덕면,33.309165,126.34173,B
5013031029,제주특별자치도,서귀포시,안덕면,33.332572,126.376743,B
5013031030,제주특별자치도,서귀포시,안덕면,33.310286,126.382188,B
5013032021,제주특별자치도,서귀포시,표선면,33.324081,126.828811,B
5013032022,제주특별자치도,서귀포시,표선면,33.348068,126.832421,B
5013032023,제주특별자치도,서귀포시,표선면,33.393144,126.794822,B
5013032024,제주특별자치도,서귀포시,표선면,33.354784,126.771072,B
5013032025,제주특별자치도,서귀포시,표선면,33.321147,126.798867,B
5013032026,제주특별자치도,서귀포시,표선면,33.319789,126.774678,B
